drug_id
DB13816
DB09008
DB13266
DB13778
DB13638
DB13461
DB13504
DB09062
DB13470
DB13667
DB13682
DB13499
DB13821
DB13686
DB13300
DB11935
DB00650
DB13836
DB13739
DB13337
DB09320
DB13660
DB13693
DB12127
DB13814
DB12343
DB11675
DB11950
