drug_id
DB06736
DB00415
DB13816
DB08795
DB01061
DB01602
DB01053
DB00578
DB09319
DB01414
DB01140
DB09008
DB00456
DB01326
DB01139
DB13266
DB13778
DB13638
DB13461
DB13504
DB00267
DB00274
DB09062
DB13470
DB01328
DB01329
DB00923
DB01330
DB00229
DB01331
DB13667
DB00430
DB13682
DB01333
DB11367
DB13499
DB13821
DB01332
DB13686
DB01147
DB01119
DB13300
DB00330
DB00593
DB11935
DB00739
DB04570
DB00650
DB01137
DB00447
DB13836
DB01603
DB00948
DB00607
DB00713
DB13739
DB13337
DB00417
DB01604
DB01605
DB09320
DB13660
DB00339
DB13693
DB12127
DB04786
DB13814
DB06149
DB12343
DB01607
DB11675
DB00581
DB11950
DB11827
