adr_name,base_acc,f1_test_acc,f1_f1_score,f1_recall_scaore,f1_confusion_matrix,f1_n_estimators,f1_min_sample_split,f1_max_depth,acc_test_acc,acc_f1_score,acc_recall_scaore,acc_confusion_matrix,acc_n_estimators,acc_min_sample_split,acc_max_depth,rs_test_acc,rs_f1_score,rs_recall_scaore,rs_confusion_matrix,rs_n_estimators,rs_min_sample_split,rs_max_depth
ACUTEKIDNEYINJURY,0.8936959208899876,0.8024691358024691,0.19999999999999998,0.2222222222222222,"[[63  9]
 [ 7  2]]",5,7,10,0.7901234567901234,0.10526315789473685,0.1111111111111111,"[[63  9]
 [ 8  1]]",2,2,17,0.691358024691358,0.1935483870967742,0.3333333333333333,"[[53 19]
 [ 6  3]]",1,3,8
AGRANULOCYTOSIS,0.8566131025957973,0.7037037037037037,0.29411764705882354,0.4166666666666667,"[[52 17]
 [ 7  5]]",1,10,13,0.8395061728395061,0.3157894736842105,0.25,"[[65  4]
 [ 9  3]]",2,2,15,0.6296296296296297,0.21052631578947367,0.3333333333333333,"[[47 22]
 [ 8  4]]",1,4,9
ANAPHYLACTICSHOCK,0.7206427688504327,0.49382716049382713,0.19607843137254902,0.21739130434782608,"[[35 23]
 [18  5]]",1,5,13,0.6666666666666666,0.30769230769230765,0.2608695652173913,"[[48 10]
 [17  6]]",2,2,16,0.5308641975308642,0.24,0.2608695652173913,"[[37 21]
 [17  6]]",1,4,9
ATRIALFIBRILLATION,0.8800988875154512,0.7407407407407407,0.22222222222222224,0.3,"[[57 14]
 [ 7  3]]",5,4,10,0.8518518518518519,0.14285714285714288,0.1,"[[68  3]
 [ 9  1]]",2,6,14,0.7037037037037037,0.25000000000000006,0.4,"[[53 18]
 [ 6  4]]",3,2,8
CARDIACDISORDER,0.8640296662546354,0.7037037037037037,0.25,0.36363636363636365,"[[53 17]
 [ 7  4]]",3,10,12,0.8148148148148148,0.11764705882352942,0.09090909090909091,"[[65  5]
 [10  1]]",2,3,17,0.8148148148148148,0.34782608695652173,0.36363636363636365,"[[62  8]
 [ 7  4]]",1,2,8
CARDIACFAILURE,0.8986402966625464,0.7160493827160493,0.14814814814814814,0.25,"[[56 17]
 [ 6  2]]",8,5,12,0.7901234567901234,0.1904761904761905,0.25,"[[62 11]
 [ 6  2]]",2,3,15,0.6049382716049383,0.2,0.5,"[[45 28]
 [ 4  4]]",1,3,8
CEREBROVASCULARACCIDENT,0.896168108776267,0.7037037037037037,0.25,0.5,"[[53 20]
 [ 4  4]]",9,3,8,0.8148148148148148,0.2105263157894737,0.25,"[[64  9]
 [ 6  2]]",4,2,17,0.5802469135802469,0.19047619047619047,0.5,"[[43 30]
 [ 4  4]]",1,10,9
ERYTHEMAMULTIFORME,0.8491965389369592,0.654320987654321,0.1764705882352941,0.25,"[[50 19]
 [ 9  3]]",7,7,8,0.7407407407407407,0.0,0.0,"[[60  9]
 [12  0]]",12,2,17,0.5679012345679012,0.10256410256410256,0.16666666666666666,"[[44 25]
 [10  2]]",1,3,8
HEPATICFAILURE,0.8813349814585909,0.7654320987654321,0.09523809523809525,0.1,"[[61 10]
 [ 9  1]]",6,9,12,0.8024691358024691,0.20000000000000004,0.2,"[[63  8]
 [ 8  2]]",2,2,17,0.691358024691358,0.13793103448275862,0.2,"[[54 17]
 [ 8  2]]",1,4,10
JAUNDICE,0.8491965389369592,0.7530864197530864,0.28571428571428575,0.3333333333333333,"[[57 12]
 [ 8  4]]",12,6,8,0.8148148148148148,0.34782608695652173,0.3333333333333333,"[[62  7]
 [ 8  4]]",2,3,17,0.654320987654321,0.2222222222222222,0.3333333333333333,"[[49 20]
 [ 8  4]]",1,10,9
