experiment,model,feature_setting,base_acc,test_acc,f1_score,auc,recall
RF core model,Random Forest,Structure + target,0.5963060686015831,0.5307017543859649,0.4780487804878049,,0.532608695652174
XGB SMILES-32,XGBoost,SMILES only,0.5469798657718121,0.5333333333333333,0.48148148148148145,0.5286195286195285,0.48148148148148145
XGB SMILES-64,XGBoost,SMILES only,0.5469798657718121,0.55,0.49056603773584906,0.5437710437710438,0.48148148148148145
XGB SMILES+Target-128,XGBoost,SMILES + target,0.659606656580938,0.46218487394957986,0.47107438016528924,0.5206416607690494,0.7037037037037037
XGB refined dataset,XGBoost,SMILES + target,0.5469798657718121,0.55,0.47058823529411764,0.5404040404040403,0.4444444444444444
