drug_id,target_nm
DB00675,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"
DB00675,Protein kinase C
DB00675,Potassium voltage-gated channel subfamily H member 2
DB00675,Nuclear receptor subfamily 1 group I member 2
DB00675,Sex hormone-binding globulin
DB00499,Androgen receptor
DB00499,Aryl hydrocarbon receptor
DB00499,Nuclear receptor subfamily 1 group I member 2
DB01165,DNA gyrase subunit A
DB01165,DNA topoisomerase 4 subunit A
DB01165,DNA topoisomerase 2-alpha
DB00916,Oxygen-insensitive NADPH nitroreductase
DB00916,Anaerobic bacterial DNA
DB00916,Protozoal DNA
DB01112,Penicillin-binding protein 1A
DB00987,DNA polymerase beta
DB00987,DNA
DB00524,Solute carrier family 12 member 3
DB00698,30S ribosomal protein S10
DB00698,Probable pyruvate-flavodoxin oxidoreductase
DB00698,Oxygen-insensitive NADPH nitroreductase
DB00261,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB01097,"Dihydroorotate dehydrogenase (quinone), mitochondrial"
DB01097,Aryl hydrocarbon receptor
DB01097,Protein-tyrosine kinase 2-beta
DB00811,RNA-directed RNA polymerase catalytic subunit
DB00811,Genome polyprotein
DB00811,RNA-directed RNA polymerase L
DB00811,Inosine-5'-monophosphate dehydrogenase 1
DB00811,Inosine-5'-monophosphate dehydrogenase 2
DB01150,Penicillin-binding protein 2x
DB01150,Penicillin-binding protein 1A
DB01150,Penicillin-binding protein 2B
DB00909,"Carbonic anhydrase 5B, mitochondrial"
DB00909,Carbonic anhydrase-related protein 10
DB00909,Carbonic anhydrase-related protein 11
DB00909,Carbonic anhydrase 12
DB00909,Carbonic anhydrase 13
DB00909,Sodium channel protein type 3 subunit alpha
DB00909,Sodium channel protein type 4 subunit alpha
DB00909,Sodium channel subunit beta-3
DB00909,Amine oxidase [flavin-containing] B
DB00909,Carbonic anhydrase 2
DB00909,Carbonic anhydrase 4
DB00909,Carbonic anhydrase 7
DB00909,Carbonic anhydrase 9
DB00909,Voltage-dependent T-type calcium channel subunit alpha-1H
DB00909,Sodium channel protein type 9 subunit alpha
DB00909,Sodium channel subunit beta-1
DB00909,Sodium channel subunit beta-2
DB00909,Sodium channel protein type 1 subunit alpha
DB00909,Carbonic anhydrase 1
DB00909,Voltage-dependent T-type calcium channel subunit alpha-1G
DB00909,Carbonic anhydrase 3
DB00909,"Carbonic anhydrase 5A, mitochondrial"
DB00909,Carbonic anhydrase 6
DB00909,Carbonic anhydrase-related protein
DB00909,Carbonic anhydrase 14
DB00909,Voltage-dependent T-type calcium channel subunit alpha-1I
DB00909,Sodium channel protein type 2 subunit alpha
DB00909,Sodium channel protein type 5 subunit alpha
DB00909,Sodium channel protein type 11 subunit alpha
DB00909,Sodium channel subunit beta-4
DB01140,Penicillin-binding protein 3
DB01140,Penicillin-binding protein 1A
DB01140,Penicillin-binding protein 1b
DB01140,Penicillin-binding protein 2B
DB01204,DNA
DB01204,DNA topoisomerase 2-alpha
DB01212,Solute carrier family 22 member 11
DB01212,Solute carrier family 15 member 1
DB01212,Penicillin-binding protein 2B
DB01212,Solute carrier family 22 member 8
DB01212,Solute carrier family 22 member 6
DB00493,Penicillin-binding protein 2a
DB00493,Penicillin-binding protein 1b
DB00493,Penicillin-binding protein 1A
DB00493,Solute carrier family 22 member 8
DB00493,Solute carrier family 22 member 11
DB00493,Penicillin-binding protein 3
DB00493,Penicillin-binding protein 2B
DB00493,Solute carrier family 22 member 6
DB00493,Solute carrier family 22 member 7
DB00493,Solute carrier family 15 member 1
DB00493,Serum albumin
DB00493,Beta-lactamase
DB00493,Solute carrier family 15 member 2
DB00537,Potassium voltage-gated channel subfamily H member 2
DB00537,DNA topoisomerase 4 subunit A
DB00537,Gyrase A
DB00537,DNA gyrase subunit A
DB00537,DNA topoisomerase 2-alpha
DB00537,DNA topoisomerase 4 subunit B
DB00537,DNA gyrase subunit A
DB00537,DNA gyrase subunit A
DB00537,DNA topoisomerase 4 subunit A
DB00537,DNA gyrase subunit A
DB00537,Multidrug resistance protein MdtK
DB01177,DNA
DB01177,DNA topoisomerase 2-alpha
DB01320,Sodium channel protein type 5 subunit alpha
DB01073,Ribonucleoside-diphosphate reductase large subunit
DB01073,Deoxycytidine kinase
DB01073,DNA polymerase alpha catalytic subunit
DB01073,DNA
DB00649,Reverse transcriptase/RNaseH
DB00238,Reverse transcriptase/RNaseH
DB00593,Voltage-dependent T-type calcium channel subunit alpha-1G
DB00495,Reverse transcriptase/RNaseH
DB00495,Telomerase reverse transcriptase
DB00900,Reverse transcriptase/RNaseH
DB00900,Purine nucleoside phosphorylase
DB01416,Peptidoglycan synthase FtsI
DB00555,5-hydroxytryptamine receptor 3A
DB00555,Voltage-dependent R-type calcium channel subunit alpha-1E (CACNA1E)
DB00555,Alpha-2A adrenergic receptor
DB00555,Histamine H1 receptor
DB00555,Kappa-type opioid receptor
DB00555,Adenosine receptor A1
DB00555,Adenosine receptor A2a
DB00555,Alpha-1A adrenergic receptor
